Date,AAPL,MSFT,GOOGL,GOOG,AMZN,META,TSLA,NVDA,ORCL,INTC,CRM,ADBE,CSCO,AMD,IBM
2024-06-13,213.5223846435547,439.0246887207031,174.52664184570312,176.10699462890625,183.8300018310547,502.2676696777344,182.47000122070312,129.5780792236328,138.30538940429688,30.26799201965332,227.69761657714844,458.739990234375,44.19282150268555,159.89999389648438,165.2418212890625
2024-06-14,211.7782440185547,440.00897216796875,176.15072631835938,177.73117065429688,183.66000366210938,502.8262023925781,178.00999450683594,131.84750366210938,136.60438537597656,30.258056640625,230.5906982421875,525.3099975585938,44.3481559753418,159.6300048828125,165.32977294921875
2024-06-17,215.94422912597656,445.775390625,176.59910583496094,178.1396942138672,184.05999755859375,505.2896728515625,187.44000244140625,130.94773864746094,139.749267578125,30.784713745117188,229.13917541503906,518.739990234375,44.35786819458008,158.39999389648438,165.6131134033203
2024-06-18,213.5721893310547,443.75714111328125,174.45687866210938,175.8180389404297,182.80999755859375,498.16851806640625,184.86000061035156,135.54660034179688,143.04249572753906,30.436920166015625,230.46144104003906,522.25,44.62970733642578,154.6300048828125,166.6390380859375
2024-06-20,208.97764587402344,443.1208801269531,175.6625213623047,177.07354736328125,186.10000610351562,500.3727111816406,181.57000732421875,130.74777221679688,141.33160400390625,30.426984786987305,240.39332580566406,522.9500122070312,45.35783386230469,161.77999877929688,169.9317626953125
2024-06-21,206.79498291015625,447.17724609375,178.98046875,179.61439514160156,189.0800018310547,493.47100830078125,183.00999450683594,126.53881072998047,139.9371795654297,30.894020080566406,243.63436889648438,533.4400024414062,45.91122055053711,161.22999572753906,168.5052490234375
2024-06-24,207.4427947998047,445.0794677734375,178.5719451904297,180.14248657226562,185.57000732421875,497.590087890625,182.5800018310547,118.08089447021484,138.34495544433594,30.37729835510254,238.54415893554688,524.1699829101562,45.90150833129883,160.25,170.99676513671875
2024-06-25,208.36968994140625,448.3404541015625,183.3645477294922,184.91534423828125,186.33999633789062,509.2491760253906,187.35000610351562,126.05892944335938,137.63290405273438,30.546226501464844,240.3535614013672,526.8800048828125,45.99859619140625,160.25,168.6420440673828
2024-06-26,212.5356903076172,449.54345703125,183.21510314941406,184.70606994628906,193.61000061035156,511.762451171875,196.3699951171875,126.36885070800781,136.70327758789062,30.347488403320312,241.73545837402344,528.6599731445312,45.493751525878906,157.5399932861328,167.92877197265625
2024-06-27,213.38284301757812,450.2294921875,184.7395782470703,186.1907501220703,197.85000610351562,518.1854248046875,197.4199981689453,123.95944213867188,138.63174438476562,30.397172927856445,251.37905883789062,546.760009765625,46.06655502319336,159.47000122070312,166.93215942382812
2024-06-28,209.9144744873047,444.3636169433594,181.49134826660156,182.76307678222656,193.25,502.8860168457031,197.8800048828125,123.50955963134766,139.64048767089844,30.774776458740234,255.6042938232422,555.5399780273438,46.12480163574219,162.2100067138672,168.9840087890625
2024-07-01,216.02395629882812,454.0870361328125,182.32830810546875,183.82923889160156,197.1999969482422,503.34478759765625,209.86000061035156,124.26937866210938,141.5095977783203,30.645597457885742,254.71946716308594,560.010009765625,46.13451385498047,157.69000244140625,171.08470153808594
2024-07-02,219.53216552734375,456.62225341796875,184.5701904296875,185.941650390625,200.0,508.1520690917969,231.25999450683594,122.6397705078125,141.69749450683594,30.874147415161133,254.69961547851562,567.7100219726562,45.90150833129883,164.30999755859375,173.2342529296875
2024-07-03,220.80787658691406,458.1036376953125,185.14808654785156,186.71885681152344,197.58999633789062,508.61083984375,246.38999938964844,128.24839782714844,142.7853546142578,31.033138275146484,259.43194580078125,570.1500244140625,45.71704864501953,163.89999389648438,171.70025634765625
2024-07-05,225.5818328857422,464.8543395996094,189.9108123779297,191.27249145507812,200.0,538.4815063476562,251.52000427246094,125.79900360107422,143.2303924560547,31.818159103393555,261.65887451171875,578.3400268554688,45.67788314819336,171.89999389648438,171.9835968017578
